lease_number,region,month,R,mean_in,mean_out,ncells_in,ncells_out,log_anomaly,behavior
OCS-A 0521,Southern New England,Sep,24.256551790340424,0.0240754449340914,9.925336932547376e-4,35,19458,3.188686757813535,Selection (R > 1)
OCS-A 0521,Southern New England,Oct,5.251337051203932,0.040184275140719754,0.007652198811254559,35,19458,1.6584827205987946,Selection (R > 1)
OCS-A 0521,Southern New England,Nov,2.870032984077413,0.05673662461340427,0.019768631555167494,35,19458,1.054323522415389,Selection (R > 1)
OCS-A 0521,Southern New England,Dec,7.783102030681449,0.16480621376207896,0.02117487514777567,35,19458,2.0519549773197503,Selection (R > 1)
OCS-A 0522,Southern New England,Jan,22.893595379105275,0.941177405235244,0.041110947828415186,41,19458,3.1308571936747445,Selection (R > 1)
OCS-A 0522,Southern New England,Feb,28.99771837272263,1.0520066429929036,0.03627894544911843,41,19458,3.3672171500886243,Selection (R > 1)
OCS-A 0522,Southern New England,Mar,21.596210457662426,0.901433634685307,0.04174036164596991,41,19458,3.0725178575235232,Selection (R > 1)
OCS-A 0522,Southern New England,Apr,15.75640493494282,0.8198016976437917,0.052029742890507075,41,19458,2.7572469451428954,Selection (R > 1)
OCS-A 0522,Southern New England,May,12.75377042110166,0.6699030940852514,0.05252588622552497,41,19458,2.5458269471901915,Selection (R > 1)
OCS-A 0522,Southern New England,Jun,5.2458763389845915,0.14521498678297531,0.027681740361246026,41,19458,1.6574423087277685,Selection (R > 1)
OCS-A 0522,Southern New England,Jul,4.181206810463942,0.0896300079709873,0.021436396723232654,41,19458,1.4305999155050755,Selection (R > 1)
OCS-A 0522,Southern New England,Aug,40.38158801066295,0.042450515587427996,0.0010512344283295331,41,19458,3.698373938774691,Selection (R > 1)
OCS-A 0522,Southern New England,Sep,75.4894897575641,0.07492586207099078,9.925336932547376e-4,41,19458,4.32399343805549,Selection (R > 1)
OCS-A 0522,Southern New England,Oct,13.39267173355195,0.10248338671900876,0.007652198811254559,41,19458,2.5947076718045916,Selection (R > 1)
OCS-A 0522,Southern New England,Nov,9.84236129718889,0.1945700141169676,0.019768631555167494,41,19458,2.286695651502666,Selection (R > 1)
OCS-A 0522,Southern New England,Dec,27.940214133376998,0.5916305458763751,0.02117487514777567,41,19458,3.3300670178430045,Selection (R > 1)
OCS-A 0532,Mid-Atlantic,Jan,1.4071845913253977,0.09602101019450597,0.06823625755030886,35,17449,0.3415909644987977,Selection (R > 1)
OCS-A 0532,Mid-Atlantic,Feb,1.3372262727588957,0.08877900583403452,0.06639041398047787,35,17449,0.2905975229619525,Selection (R > 1)
OCS-A 0532,Mid-Atlantic,Mar,0.8635344413689082,0.058746256466422765,0.0680300097507355,35,17449,-0.14672149641327742,Avoidance (R < 1)
OCS-A 0532,Mid-Atlantic,Apr,0.5841411753998227,0.045043096425277845,0.07710994931053702,35,17449,-0.5376125866696746,Avoidance (R < 1)
OCS-A 0532,Mid-Atlantic,May,0.12227186198910447,0.009667545676763568,0.07906598885052583,35,17449,-2.1015083364386418,Avoidance (R < 1)
OCS-A 0532,Mid-Atlantic,Jun,0.07527129158805909,0.002847367205790111,0.03782806360455508,35,17449,-2.586656470682637,Avoidance (R < 1)
OCS-A 0532,Mid-Atlantic,Jul,0.04559486664122006,0.0012744367322219269,0.02795132053461851,35,17449,-3.0879601424561414,Avoidance (R < 1)
OCS-A 0532,Mid-Atlantic,Aug,0.3781796312591681,0.001192030039549406,0.0031520207357029835,35,17449,-0.9723859812700799,Avoidance (R < 1)
OCS-A 0532,Mid-Atlantic,Sep,0.46662610385682635,0.0016607739862852862,0.003559110758181795,35,17449,-0.7622269761314863,Avoidance (R < 1)
OCS-A 0532,Mid-Atlantic,Oct,0.37007061438624256,0.004098429544163602,0.011074722998368286,35,17449,-0.9940614418608053,Avoidance (R < 1)
OCS-A 0532,Mid-Atlantic,Nov,0.47758147345798224,0.013169063308409282,0.027574485276945945,35,17449,-0.7390205085732544,Avoidance (R < 1)
OCS-A 0532,Mid-Atlantic,Dec,1.11375423365802,0.044509093037673406,0.03996311905498893,35,17449,0.10773650105987267,Selection (R > 1)
OCS-A 0537,Mid-Atlantic,Jan,0.8883848822903462,0.06062005963176489,0.06823625755030886,20,17449,-0.11835020388924274,Avoidance (R < 1)
OCS-A 0537,Mid-Atlantic,Feb,1.6691989382441117,0.1108188085258007,0.06639041398047787,20,17449,0.512343833648377,Selection (R > 1)
OCS-A 0537,Mid-Atlantic,Mar,1.7173086517168195,0.11682852432131767,0.0680300097507355,20,17449,0.5407583279713584,Selection (R > 1)
OCS-A 0537,Mid-Atlantic,Apr,1.5819170710894561,0.12198154516518116,0.07710994931053702,20,17449,0.45863744767403425,Selection (R > 1)
OCS-A 0537,Mid-Atlantic,May,0.5834727411960015,0.0461328492499888,0.07906598885052583,20,17449,-0.5387575443775999,Avoidance (R < 1)
OCS-A 0537,Mid-Atlantic,Jun,0.24151741120298664,0.009136135992594063,0.03782806360455508,20,17449,-1.4208137124096873,Avoidance (R < 1)
OCS-A 0537,Mid-Atlantic,Jul,0.1129742090302776,0.0031577783287502826,0.02795132053461851,20,17449,-2.180595724990315,Avoidance (R < 1)
OCS-A 0537,Mid-Atlantic,Aug,0.986607419353929,0.0031098070438019933,0.0031520207357029835,20,17449,-0.013483070087190087,Avoidance (R < 1)
OCS-A 0537,Mid-Atlantic,Sep,1.5733380087817819,0.005599684233311563,0.003559110758181795,20,17449,0.4531994826082748,Selection (R > 1)
OCS-A 0537,Mid-Atlantic,Oct,0.9583939189275431,0.010613947175443172,0.011074722998368286,20,17449,-0.04249639666660037,Avoidance (R < 1)
OCS-A 0537,Mid-Atlantic,Nov,0.5085107244240403,0.014021921483799816,0.027574485276945945,20,17449,-0.6762689734031563,Avoidance (R < 1)
OCS-A 0537,Mid-Atlantic,Dec,0.511780965375623,0.020452363649383187,0.03996311905498893,20,17449,-0.6698585474767479,Avoidance (R < 1)
OCS-A 0538,Mid-Atlantic,Jan,0.9183137129683547,0.06266229103008907,0.06823625755030886,24,17449,-0.0852162114801952,Avoidance (R < 1)
OCS-A 0538,Mid-Atlantic,Feb,1.3838423360579413,0.09187386557459831,0.06639041398047787,24,17449,0.3248639316729325,Selection (R > 1)
OCS-A 0538,Mid-Atlantic,Mar,1.403540711973064,0.0954828883210818,0.0680300097507355,24,17449,0.3389981238611966,Selection (R > 1)
OCS-A 0538,Mid-Atlantic,Apr,1.0749659753676506,0.08289057187115152,0.07710994931053702,24,17449,0.07228901025793819,Selection (R > 1)
OCS-A 0538,Mid-Atlantic,May,0.3344154761900323,0.026440890311884385,0.07906598885052583,24,17449,-1.095371118369914,Avoidance (R < 1)
OCS-A 0538,Mid-Atlantic,Jun,0.15116681487869962,0.005718347888129453,0.03782806360455508,24,17449,-1.8893713176410734,Avoidance (R < 1)
OCS-A 0538,Mid-Atlantic,Jul,0.08472777960365474,0.0023682533258882663,0.02795132053461851,24,17449,-2.4683117546662423,Avoidance (R < 1)
OCS-A 0538,Mid-Atlantic,Aug,0.8107960243023897,0.0025556458810266727,0.0031520207357029835,24,17449,-0.20973876784207893,Avoidance (R < 1)
OCS-A 0538,Mid-Atlantic,Sep,1.1151717884426102,0.003969019909466927,0.003559110758181795,24,17449,0.10900846339658113,Selection (R > 1)
OCS-A 0538,Mid-Atlantic,Oct,0.7218845606712788,0.007994671546233198,0.011074722998368286,24,17449,-0.32589004113972925,Avoidance (R < 1)
OCS-A 0538,Mid-Atlantic,Nov,0.45067558783553424,0.012427147361449897,0.027574485276945945,24,17449,-0.7970075157502162,Avoidance (R < 1)
OCS-A 0538,Mid-Atlantic,Dec,0.5779065957497408,0.02309495008861025,0.03996311905498893,24,17449,-0.5483430224171841,Avoidance (R < 1)
OCS-A 0539,Mid-Atlantic,Jan,1.4259254276353608,0.09729981472766078,0.06823625755030886,37,17449,0.3548210258388222,Selection (R > 1)
OCS-A 0539,Mid-Atlantic,Feb,1.8863760198795363,0.12523728488264857,0.06639041398047787,37,17449,0.6346575386122056,Selection (R > 1)
OCS-A 0539,Mid-Atlantic,Mar,1.9121377804802933,0.1300827518508241,0.0680300097507355,37,17449,0.6482218729536016,Selection (R > 1)
OCS-A 0539,Mid-Atlantic,Apr,1.4140506000679092,0.10903737009377093,0.07710994931053702,37,17449,0.34645835188920965,Selection (R > 1)
OCS-A 0539,Mid-Atlantic,May,0.4098258936982611,0.0324032895418035,0.07906598885052583,37,17449,-0.8920228589893592,Avoidance (R < 1)
OCS-A 0539,Mid-Atlantic,Jun,0.18869975246877335,0.007138146238552558,0.03782806360455508,37,17449,-1.6675981383796994,Avoidance (R < 1)
OCS-A 0539,Mid-Atlantic,Jul,0.11875663669646926,0.0033194048179162514,0.02795132053461851,37,17449,-2.1306789496587935,Avoidance (R < 1)
OCS-A 0539,Mid-Atlantic,Aug,1.004002159390345,0.0031646356250889397,0.0031520207357029835,37,17449,0.0039941720544207126,Selection (R > 1)
OCS-A 0539,Mid-Atlantic,Sep,1.3999894778911863,0.004982717612103836,0.003559110758181795,37,17449,0.33646472080095946,Selection (R > 1)
OCS-A 0539,Mid-Atlantic,Oct,0.8792906067223221,0.009737899904516904,0.011074722998368286,37,17449,-0.12863982533100407,Avoidance (R < 1)
OCS-A 0539,Mid-Atlantic,Nov,0.6323907434360108,0.01743784924415318,0.027574485276945945,37,17449,-0.45824781095190387,Avoidance (R < 1)
OCS-A 0539,Mid-Atlantic,Dec,0.9648320893547133,0.038557699654956125,0.03996311905498893,37,17449,-0.0358011934517146,Avoidance (R < 1)
OCS-A 0541,Mid-Atlantic,Jan,1.5964239457577172,0.1089339955222039,0.06823625755030886,21,17449,0.4677660939281769,Selection (R > 1)
OCS-A 0541,Mid-Atlantic,Feb,1.9162944758351008,0.1272235835591952,0.06639041398047787,21,17449,0.6503933607636888,Selection (R > 1)
OCS-A 0541,Mid-Atlantic,Mar,1.8622899102250892,0.12669160075130917,0.0680300097507355,21,17449,0.6218068650300459,Selection (R > 1)
OCS-A 0541,Mid-Atlantic,Apr,1.2776174685388098,0.09851701823728425,0.07710994931053702,21,17449,0.24499699075788586,Selection (R > 1)
OCS-A 0541,Mid-Atlantic,May,0.3309069801924843,0.026163487606460138,0.07906598885052583,21,17449,-1.10591796970926,Avoidance (R < 1)
OCS-A 0541,Mid-Atlantic,Jun,0.16494070628320345,0.006239387528261258,0.03782806360455508,21,17449,-1.802169225524719,Avoidance (R < 1)
OCS-A 0541,Mid-Atlantic,Jul,0.1074959270531632,0.003004653113228934,0.02795132053461851,21,17449,-2.230302320009735,Avoidance (R < 1)
OCS-A 0541,Mid-Atlantic,Aug,0.7966686150658611,0.0025111159941713724,0.0031520207357029835,21,17449,-0.22731647703831573,Avoidance (R < 1)
OCS-A 0541,Mid-Atlantic,Sep,1.308662231479436,0.0046576738268846556,0.003559110758181795,21,17449,0.2690054180918553,Selection (R > 1)
