month,region,wea,dens_90,dens_75,dens_50,dens_avg,ann_reg_90,ann_reg_75,ann_reg_50,ann_reg_avg,ann_coast_avg,constraint
December,Southern New England,OCS-A 0500,0.4887382388114929,0.41960103809833527,0.22949263453483582,0.25084677832606045,0.15008400976657874,0.018916922621428967,2.598425780888647e-4,0.07918808176801849,0.02216512590611698,0km
December,Southern New England,OCS-A 0501,0.6252960562705994,0.6034566164016724,0.5037581920623779,0.5068002072247592,0.15008400976657874,0.018916922621428967,2.598425780888647e-4,0.07918808176801849,0.02216512590611698,0km
December,Southern New England,OCS-A 0517,0.2827188283205032,0.26207800954580307,0.2276766449213028,0.2202488581339518,0.15008400976657874,0.018916922621428967,2.598425780888647e-4,0.07918808176801849,0.02216512590611698,0km
December,Southern New England,OCS-A 0520,0.2779269725084306,0.16765787824988365,0.08139404654502869,0.12827739575877786,0.15008400976657874,0.018916922621428967,2.598425780888647e-4,0.07918808176801849,0.02216512590611698,0km
December,Southern New England,OCS-A 0521,0.38278241455554984,0.23866866528987885,0.07561531290411949,0.16342849945649504,0.15008400976657874,0.018916922621428967,2.598425780888647e-4,0.07918808176801849,0.02216512590611698,0km
December,Southern New England,OCS-A 0522,1.0472978830337534,0.5570005476474762,0.24725493043661118,0.41501086493107403,0.15008400976657874,0.018916922621428967,2.598425780888647e-4,0.07918808176801849,0.02216512590611698,0km
December,Southern New England,OCS-A 0534,0.24194427579641342,0.17488060891628265,0.09910375997424126,0.12249426858033985,0.15008400976657874,0.018916922621428967,2.598425780888647e-4,0.07918808176801849,0.02216512590611698,0km
February,Mid-Atlantic,OCS-A 0482,0.12631002068519595,0.10466712713241577,0.0874611884355545,0.09641029341862752,0.06292186379432677,0.012153170304372907,0.001961317379027605,0.017818752700484945,0.02216512590611698,0km
February,Mid-Atlantic,OCS-A 0483,0.15217355638742447,0.1500684805214405,0.14103010296821594,0.13802072480320932,0.06292186379432677,0.012153170304372907,0.001961317379027605,0.017818752700484945,0.02216512590611698,0km
February,Mid-Atlantic,OCS-A 0490,0.08539405092597009,0.06737682409584522,0.06410227343440056,0.06837401751961027,0.06292186379432677,0.012153170304372907,0.001961317379027605,0.017818752700484945,0.02216512590611698,0km
February,Mid-Atlantic,OCS-A 0498,0.0774675615131855,0.07073680497705936,0.06579164415597916,0.06805604261656602,0.06292186379432677,0.012153170304372907,0.001961317379027605,0.017818752700484945,0.02216512590611698,0km
February,Mid-Atlantic,OCS-A 0499,0.08884062245488167,0.08190528117120266,0.06465958058834076,0.06973426369950175,0.06292186379432677,0.012153170304372907,0.001961317379027605,0.017818752700484945,0.02216512590611698,0km
February,Mid-Atlantic,OCS-A 0508,0.04560964256525041,0.031076099257916212,0.024631948210299015,0.028808372819589242,0.06292186379432677,0.012153170304372907,0.001961317379027605,0.017818752700484945,0.02216512590611698,0km
February,Mid-Atlantic,OCS-A 0512,0.1514000713825226,0.1456768959760666,0.13816487789154053,0.12796370226603287,0.06292186379432677,0.012153170304372907,0.001961317379027605,0.017818752700484945,0.02216512590611698,0km
February,Mid-Atlantic,OCS-A 0519,0.07625202983617782,0.07298868894577026,0.06754978746175766,0.06935880084832509,0.06292186379432677,0.012153170304372907,0.001961317379027605,0.017818752700484945,0.02216512590611698,0km
February,Mid-Atlantic,OCS-A 0532,0.09517923146486282,0.09180964902043343,0.07885704934597015,0.08092253878712655,0.06292186379432677,0.012153170304372907,0.001961317379027605,0.017818752700484945,0.02216512590611698,0km
February,Mid-Atlantic,OCS-A 0537,0.1280433103442192,0.12562004663050175,0.11581580713391304,0.1124233225626605,0.06292186379432677,0.012153170304372907,0.001961317379027605,0.017818752700484945,0.02216512590611698,0km
February,Mid-Atlantic,OCS-A 0538,0.12066354006528855,0.10067383944988251,0.08221130818128586,0.08955078285474044,0.06292186379432677,0.012153170304372907,0.001961317379027605,0.017818752700484945,0.02216512590611698,0km
February,Mid-Atlantic,OCS-A 0539,0.16533063501119613,0.15300512686371803,0.12463006004691124,0.12964127461115518,0.06292186379432677,0.012153170304372907,0.001961317379027605,0.017818752700484945,0.02216512590611698,0km
February,Mid-Atlantic,OCS-A 0541,0.15530055463314058,0.14126446470618248,0.12026425078511238,0.11870221261467252,0.06292186379432677,0.012153170304372907,0.001961317379027605,0.017818752700484945,0.02216512590611698,0km
February,Mid-Atlantic,OCS-A 0542,0.16905728429555894,0.1674724519252777,0.1618831902742386,0.16118377021380834,0.06292186379432677,0.012153170304372907,0.001961317379027605,0.017818752700484945,0.02216512590611698,0km
February,Mid-Atlantic,OCS-A 0544,0.16923020035028458,0.16323615983128548,0.15580874681472778,0.1572095975279808,0.06292186379432677,0.012153170304372907,0.001961317379027605,0.017818752700484945,0.02216512590611698,0km
February,Mid-Atlantic,OCS-A 0549,0.08664193004369736,0.08313969522714615,0.07027610391378403,0.07317932007404473,0.06292186379432677,0.012153170304372907,0.001961317379027605,0.017818752700484945,0.02216512590611698,0km
February,Southeast,OCS-A 0545,0.023073267005383966,0.022320928052067757,0.018438453786075115,0.01913785245269537,0.0016891249455511601,2.981222223752411e-5,1.0755775747384178e-5,0.002123676119939638,0.02216512590611698,0km
February,Southeast,OCS-A 0546,0.02219602428376674,0.02023898810148239,0.01590699516236782,0.016954409579435985,0.0016891249455511601,2.981222223752411e-5,1.0755775747384178e-5,0.002123676119939638,0.02216512590611698,0km
February,Southern New England,OCS-A 0486,0.9994387984275818,0.9452490210533142,0.814683735370636,0.7851415077845255,0.15008400976657874,0.018916922621428967,2.598425780888647e-4,0.07918808176801849,0.02216512590611698,0km
February,Southern New England,OCS-A 0487,0.5070231676101684,0.3501087725162506,0.2192717045545578,0.27926211322055144,0.15008400976657874,0.018916922621428967,2.598425780888647e-4,0.07918808176801849,0.02216512590611698,0km
February,Southern New England,OCS-A 0500,1.076855683326721,1.0046910643577576,0.6552392840385437,0.6263423004876012,0.15008400976657874,0.018916922621428967,2.598425780888647e-4,0.07918808176801849,0.02216512590611698,0km
February,Southern New England,OCS-A 0501,1.2164654731750488,1.126483142375946,1.066925287246704,1.0348398631269282,0.15008400976657874,0.018916922621428967,2.598425780888647e-4,0.07918808176801849,0.02216512590611698,0km
February,Southern New England,OCS-A 0517,0.7575844526290894,0.7080904543399811,0.6256004571914673,0.6159551839033762,0.15008400976657874,0.018916922621428967,2.598425780888647e-4,0.07918808176801849,0.02216512590611698,0km
February,Southern New England,OCS-A 0520,0.639075040817261,0.3852837458252907,0.20373377203941345,0.29996880814433097,0.15008400976657874,0.018916922621428967,2.598425780888647e-4,0.07918808176801849,0.02216512590611698,0km
